Company Name,Website,Address,Phone,Estimated Revenue,Revenue Basis,Description,Freight Reason,Decision-Maker Name,Decision-Maker Title,Decision-Maker Email,Decision-Maker Phone,Pitch,Flags
Mapa Distributors,http://www.mapadistributors.com/contact,"31545 Blanco Rd, Bulverde, TX 78163",(210) 340-3664,"$8,625,000",multi-location signal x Wholesale Distributor baseline,"Wholesale Distributor based in Bulverde, TX.",Moves inventory to regional retailers/contractors — steady palletized LTL volume. Site confirms wholesale/bulk model — palletized outbound.,,Owner,,,"Quick one — not a sales call, a math question — Mapa Distributors, You're a wholesale distributor in Bulverde moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Hascor USA,https://www.hascor.com/locations.aspx,"18834 Stone Oak Pkwy Ste 103, San Antonio, TX 78258",(210) 225-6100,"$8,625,000",multi-location signal x Wholesale Distributor baseline,Hascor International Hascor.com home nitrogen powder distribution food real estate locations Hascor locations UNITED STATES Hascor USA Inc.,Moves inventory to regional retailers/contractors — steady palletized LTL volume.,,Owner,info@hascor.com,,"Quick one — not a sales call, a math question — Hascor USA, You're a wholesale distributor in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Helena Agri-Enterprises,https://helenaagri.com,"17353 Bell North Dr, Schertz, TX 78154",(210) 651-3552,"$8,250,000",multi-location signal x Chemical Supplier baseline,"For nearly 70 years, our people have been driven to providing sustainable solutions that help feed, clothe and fuel the world.",Drummed/packaged chemicals to industrial buyers — regulated LTL freight.,,Owner,,,"One question, fully aware you're busy — Helena Agri-Enterprises, You're a chemical supplier in Schertz moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Veseris,https://veseris.com,"3660 Thousand Oaks Dr, San Antonio, TX 78247",(726) 201-5267,"$8,250,000",multi-location signal x Chemical Supplier baseline,Veseris The store will not work correctly when cookies are disabled.,Drummed/packaged chemicals to industrial buyers — regulated LTL freight. Site confirms wholesale/bulk model — palletized outbound.,Abbe Vice,President,sanika.manjre@perficient.com,,"One question, fully aware you're busy — Veseris, You're a chemical supplier in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",REVENUE_EST_LOW_CONF
Clayton Homes,https://www.claytonhomessa.com,"2272 Austin Hwy, San Antonio, TX 78218",(210) 654-7999,"$7,500,000",multi-location signal x Manufacturer baseline,View Homes Featured Homes Show homes within 50 miles of undefined Expand your search radius or view all homes.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Clayton Homes, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Braustin Homes,https://www.braustin.com,"100 NE Loop 410 Ste 900, San Antonio, TX 78216",(210) 796-6931,"$7,500,000",multi-location signal x Manufacturer baseline,"Shop All Models Homes under $1,000/mo Know your terms.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Braustin Homes, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Titan Factory Direct,http://www.titanfactorydirect.com,"1999 N Interstate 35, New Braunfels, TX 78130",(830) 620-4500,"$7,500,000",multi-location signal x Manufacturer baseline,"From pricing and land to financing and beyond, we handle the heavy lifting so you don’t have to.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,careteam@titanfactorydirect.com,,"I'll keep this to ten seconds, then you decide — Titan Factory Direct, You're a manufacturer in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
"Mueller, Inc.",http://muellerinc.com/?utm_source=ExtNet&utm_medium=Yext,"1753 Interstate 35 N, New Braunfels, TX 78130",(800) 890-5235,"$7,500,000",multi-location signal x Manufacturer baseline,We offer more than just steel & metal buildings.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Mueller, Inc., You're a manufacturer in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Texas Built Mobile Homes,http://www.texasbuiltmobilehomes.com,"6245 W Interstate 10, Seguin, TX 78155",(210) 996-2138,"$7,500,000",multi-location signal x Manufacturer baseline,"We have mobile homes for sale in Texas, Oklahoma, Arizona and New Mexico.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Texas Built Mobile Homes, You're a manufacturer in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Factory Expo Home Centers,http://factoryexpodirect.com,"2075 Tx-46, Seguin, TX 78155",(800) 965-6821,"$7,500,000",multi-location signal x Manufacturer baseline,There has never really been a better time to consider manufactured homes.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Factory Expo Home Centers, You're a manufacturer in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Factory Expo Home Center,http://www.factoryexpodirect.com,"2075 N State Highway 46, Seguin, TX 78155",(830) 379-8700,"$7,500,000",multi-location signal x Manufacturer baseline,There has never really been a better time to consider manufactured homes.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Factory Expo Home Center, You're a manufacturer in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Greene Tweed & Co,https://www.gtweed.com,"9365 Corporate Dr, Selma, TX 78154",(210) 651-4572,"$7,500,000",multi-location signal x Manufacturer baseline,Contact Us Pump & Compressor Wear Components Wafer Handling & Cleaning Components Have a specific question? Our knowledgable team is here to help.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL. Site confirms wholesale/bulk model — palletized outbound.,,Owner,,,"I'll keep this to ten seconds, then you decide — Greene Tweed & Co, You're a manufacturer in Selma moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Texas Wood Supply,https://texaswoodsupply.com/san-antonio,"2233 NW Loop 410, San Antonio, TX 78230",(210) 905-0005,"$7,500,000",multi-location signal x Building Materials baseline,TWS San Antonio CLICK HERE for 24/7 access to MANAGE your account and make secure invoice PAYMENTS.,"Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,micah@micahrich.com,,"Ten seconds, then hang up on me if it's dumb — Texas Wood Supply, You're a building materials in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Cemex,https://www.cemexusa.com/-/new-braunfels-balcones-aggregates-quarry,"2682 Wald Rd, New Braunfels, TX 78132",(830) 608-3556,"$7,500,000",multi-location signal x Building Materials baseline,Explore how we collaborate to drive innovation and success.,"Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — Cemex, You're a building materials in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Cemex,https://www.cemexusa.com/-/schertz-ready-mix-concrete-plant,"550 Fm 78, Schertz, TX 78154",(800) 763-1900,"$7,500,000",multi-location signal x Building Materials baseline,Explore how we collaborate to drive innovation and success.,"Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — Cemex, You're a building materials in Schertz moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
United Built Homes,https://ubh.com/locations/texas/san-antonio,"15333 Interstate 35 N, Selma, TX 78154",(210) 656-1700,"$7,500,000",multi-location signal x Building Materials baseline,Please enter your project’s location so we can deliver the most accurate details.,"Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — United Built Homes, You're a building materials in Selma moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Stone & Soil Depot Inc,http://www.stoneandsoil.com,"26923 Interstate 10 W, Boerne, TX 78006",(210) 687-1005,"$7,500,000",multi-location signal x Building Materials baseline,Our products are stocked and sold in bulk to tackle anything from your smallest job to your largest project.,"Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,user@domain.com,,"Ten seconds, then hang up on me if it's dumb — Stone & Soil Depot Inc, You're a building materials in Boerne moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Taylor's Ace Hardware,http://acehardware.com,"1313 S Main St, Boerne, TX 78006",(830) 431-9500,"$7,500,000",multi-location signal x Building Materials baseline,It's an easier way to do it yourself and see real results.,"Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,carecenter@acehardware.com,,"Ten seconds, then hang up on me if it's dumb — Taylor's Ace Hardware, You're a building materials in Boerne moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Techlin Inc,http://techline-inc.com,"4314 Dividend, San Antonio, TX 78219",(210) 304-8000,"$7,350,000",multi-location signal x Electrical Supply baseline,"Contact Us To Find Out How Headquartered in Austin, TX With locations strategically located across Texas, Louisiana, Oklahoma, Arkansas, and New Mexico.",Gear and fixtures to contractors/sites — steady palletized LTL. Site advertises wide-area shipping — confirmed outbound volume.,,Owner,,,"Ten seconds, then your call — Techlin Inc, You're a electrical supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Hill Country Electric Supply,http://hces.net,"3003 NE Loop 410 Ste 101, San Antonio, TX 78218",(210) 653-0483,"$7,350,000",multi-location signal x Electrical Supply baseline,"Electrical Supply based in San Antonio, TX.",Gear and fixtures to contractors/sites — steady palletized LTL.,,Owner,,,"Ten seconds, then your call — Hill Country Electric Supply, You're a electrical supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
